"RowNumNumRep","Var","flowering23yn","flowering12yn","flowering7yn","flowering4yn","nodesize_mean","spurdiam_mean"
"42.7.R5","Early Muscat",0,0,1,1,4.165,4.83
"20.5.R6","Gewurtztraminer",0,0,1,1,2.4925,1.99
"12.10.R4","Melon",0,0,1,1,3.1825,4.215
"19.9.R7","Syrah",0,0,1,1,3.4525,5.895
"22.7.R1","Furmint",0,0,1,1,4.515,5.89
"24.9.R3","Dolcetto",0,0,1,1,4.265,5.84
"19.7.R6","Roussanne",0,0,1,1,3.53,5.6
"21.7.R6","Chasselas doree",0,0,1,1,4.08,6.5
"40.9.R4","Ruby Cabernet",0,0,1,1,4.09,5.92
"38.7.R4","Verdelho",0,0,0,0,4.36,5.87
"39.3.R5","Calzin",1,1,1,1,4.3,8.35
"20.5.R8","Gewurtztraminer",0,0,1,1,2.74,2.85
"32.7.R5","Pinotage",0,0,1,1,3.0075,6.38
"20.4.R1","Viognier",0,0,1,1,3.7,7.02
"15.3.R6","Merlot",0,0,1,1,4.3775,5.805
"13.3.R9","Pinot gris",0,0,1,1,4.06,5
"18.3.R2","Counoise",0,0,1,1,3.02,8.66
"38.7.R5","Verdelho",0,0,0,0,3.045,5.73
"29.7.R2","Tocai Friulano",0,0,1,1,4.25,5.38
"15.3.R5","Merlot",0,0,1,1,3.765,5.76
"28.7.R6","Refosco",0,0,1,1,4.235,5.23
"22.9.R8","Durif2",0,0,1,1,4.3625,7.085
"26.6.R5","Sangiovese",0,0,1,1,3.5025,5.07
"32.7.R2","Pinotage",0,1,1,1,4.625,6.18
"34.7.R6","Palomino",0,0,1,1,4.74,7.61
"39.3.R1","Calzin",0,0,1,1,5.705,7.43
"35.3.R2","Tempranillo",0,0,1,1,2.8675,5.33
"24.1.R6","Barbera",0,0,1,1,4.59,6.82
"14.3.R8","Carmenere",0,0,1,1,3.19,5.995
"29.3.R2","Schiopettino",0,0,1,1,4.07,5.525
"40.9.R5","Ruby Cabernet",1,1,1,1,4.455,8.47
"12.5.R4","Chardonnay",0,0,1,1,3.32,5.695
"28.7.R2","Refosco",0,0,1,1,2.51,4.92
"35.3.R3","Tempranillo",0,0,1,1,3.87,5.18
"43.3.R4","July Muscat",0,0,1,1,4.1525,5.74
"19.7.R1","Roussanne",0,0,1,1,3.645,5.735
"16.1.R1","Sauvignon blanc",0,0,0,0,3.2375,5.28
"19.7.R3","Roussanne",0,0,1,1,3.5925,6.54
"39.7.R3","Carnelian",0,0,1,1,4.255,8.34
"13.9.R5","Cabernet franc",0,0,1,1,2.595,3.56
